Description,Stop ID,Longitude,Latitude,Routes,Municipality,Nearest Intersection,Bikerack,Bench,Shelter,Info Booth,Signpost,Discontinued,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
2100 Rt 50 (Carousel Village),2321,,,"450, 451",MILTON,UNKNOWN,No,No,No,No,Yes,No,,,,
Morton Ave & Grand St,3495,,,"100, 801",ALBANY,GRAND,No,No,No,No,Yes,No,,,,
2nd Ave & 112th St,4247,-73.67892,42.77085,85,TROY,111TH,No,No,No,No,Yes,No,"{'latitude': '42.77085', 'longitude': '-73.67892'}",110,12,2138
New Turnpike Rd & 125th St,4310,,,80,TROY,NORTHERN,No,No,No,No,Yes,No,,,,
Lakeview Ave & Chrisler Ave,12471,,,353,SCHENECTADY,CHRISLER,No,No,No,No,Yes,No,,,,
Menands Rd & Fernwood Dr,12676,,,182,COLONIE,MENAND,No,No,No,No,Yes,No,,,,
Ontario St & Remsen St,19253,-73.70135,42.774288,182,COHOES,REMSEN,No,No,No,No,Yes,No,"{'latitude': '42.774288', 'longitude': '-73.70135'}",835,1176,2030
Columbia Circle E. Dr & Executive Centre Dr,12816,-73.859141,42.702569,155,ALBANY,COLUMBIA CIRCLE,No,No,No,No,Yes,No,"{'latitude': '42.702569', 'longitude': '-73.859141'}",814,40,2030
Delaware Ave & Morton Ave,2951,-73.77164,42.64548,"18,801, 805",ALBANY,HOLLAND,No,No,No,No,Yes,No,"{'latitude': '42.64548', 'longitude': '-73.77164'}",814,46,2030
Central Ave & Balltown Rd,2422,-73.893037,42.77072,355,NISKAYUNA,BALLTOWN,No,Yes,Yes,No,Yes,No,"{'latitude': '42.77072', 'longitude': '-73.893037'}",107,73,2142
4th St & 1st St,367,-73.69717,42.70852,"85, 224",TROY,ST LUKES,No,No,No,No,Yes,No,"{'latitude': '42.70852', 'longitude': '-73.69717'}",110,11,2138
